subject,phase,n_samples,fz_artifacts,pz_artifacts,fz_artifact_pct,pz_artifact_pct,n_windows_before,n_windows_after,mean_ratio_before,mean_ratio_after,median_ratio_before,median_ratio_after,std_ratio_before,std_ratio_after
Daniel,baseline_eyes_open,234,5,5,2.1367521367521367,2.1367521367521367,1,1,0.5182000969581119,0.7440822969653157,0.5182000969581119,0.7440822969653157,0.0,0.0
Daniel,baseline_eyes_closed,233,12,12,5.150214592274678,5.150214592274678,1,1,0.17692893784247957,0.09848675781582175,0.17692893784247957,0.09848675781582175,0.0,0.0
Daniel,low_cognitive_load,467,9,9,1.9271948608137044,1.9271948608137044,2,2,0.34250887356784987,0.6040280566598479,0.34250887356784987,0.6040280566598479,0.06961448742372314,0.1918824187590038
Daniel,high_cognitive_load,468,4,4,0.8547008547008547,0.8547008547008547,2,2,0.41438383055480105,0.414852252927298,0.41438383055480105,0.414852252927298,0.039271142370595036,0.03880271999809806
Edgar,baseline_eyes_open,235,2,2,0.851063829787234,0.851063829787234,1,1,1.3577917331415599,1.3287169187390186,1.3577917331415599,1.3287169187390186,0.0,0.0
Edgar,baseline_eyes_closed,235,3,3,1.2765957446808511,1.2765957446808511,1,1,0.5837849275271356,0.5841546657305534,0.5837849275271356,0.5841546657305534,0.0,0.0
Edgar,low_cognitive_load,467,23,23,4.925053533190578,4.925053533190578,2,2,1.213871387021718,1.213871387021718,1.213871387021718,1.213871387021718,0.9849692778999866,0.9849692778999866
Edgar,high_cognitive_load,473,4,4,0.8456659619450317,0.8456659619450317,2,2,0.155988613918942,0.16466980070308151,0.155988613918942,0.16466980070308151,0.13184557718139697,0.14052676396553648
Edwin,baseline_eyes_open,233,6,6,2.575107296137339,2.575107296137339,1,1,0.20603247814094566,0.2670937254028541,0.20603247814094566,0.2670937254028541,0.0,0.0
Edwin,baseline_eyes_closed,234,9,9,3.8461538461538463,3.8461538461538463,1,1,0.23232618793934443,0.31717199964732473,0.23232618793934443,0.31717199964732473,0.0,0.0
Edwin,low_cognitive_load,466,28,28,6.008583690987124,6.008583690987124,2,2,0.3177423672860024,0.31476508753399607,0.3177423672860024,0.31476508753399607,0.06331737825472478,0.06034009850271843
Edwin,high_cognitive_load,473,10,10,2.1141649048625792,2.1141649048625792,2,2,0.29597540880296846,0.29834851448033434,0.29597540880296846,0.29834851448033434,0.014386441168068392,0.016759546845434237
edwin2,baseline_eyes_open,234,0,0,0.0,0.0,1,1,0.15746121410272684,0.15746121410272684,0.15746121410272684,0.15746121410272684,0.0,0.0
edwin2,baseline_eyes_closed,234,3,3,1.2820512820512822,1.2820512820512822,1,1,2.251648036403151,2.251888509503719,2.251648036403151,2.251888509503719,0.0,0.0
edwin2,low_cognitive_load,473,28,28,5.919661733615222,5.919661733615222,2,2,0.511362922283364,0.5124680970089432,0.511362922283364,0.5124680970089432,0.00632674324074517,0.005221568515165864
edwin2,high_cognitive_load,464,17,17,3.663793103448276,3.663793103448276,2,2,0.22888320365313175,0.6490687790208836,0.22888320365313175,0.6490687790208836,0.0024175435078304247,0.19979619795194375
eliza,baseline_eyes_open,234,11,11,4.700854700854701,4.700854700854701,1,1,0.04451886351120316,0.048573499792053276,0.04451886351120316,0.048573499792053276,0.0,0.0
eliza,baseline_eyes_closed,234,3,3,1.2820512820512822,1.2820512820512822,1,1,0.31739209985302347,0.31751898684104984,0.31739209985302347,0.31751898684104984,0.0,0.0
eliza,low_cognitive_load,460,19,19,4.130434782608695,4.130434782608695,2,2,0.31925013243099326,0.3278646651382141,0.31925013243099326,0.3278646651382141,0.14336593346361204,0.15168360092914504
eliza,high_cognitive_load,459,7,7,1.5250544662309369,1.5250544662309369,2,2,0.2348052359493255,0.2372156143512255,0.2348052359493255,0.2372156143512255,0.13224482024612771,0.1346551986480277
heberto,baseline_eyes_open,4500,875,875,19.444444444444443,19.444444444444443,35,35,0.6353564730359319,1.0638573374115423,0.3790364805837277,0.6654860549919267,0.6073610046483822,1.436432499625774
heberto,baseline_eyes_closed,4500,949,949,21.08888888888889,21.08888888888889,35,35,0.9438205099325493,1.0619315333970296,0.645980883147568,0.6645277794769558,1.2446590399562094,1.4656054409026373
heberto,low_cognitive_load,9000,1243,1243,13.811111111111112,13.811111111111112,71,71,0.5551266408933406,0.661899915742719,0.36747285117638645,0.47707869215094356,0.4915194889439409,0.6930377072727885
heberto,high_cognitive_load,9000,627,627,6.966666666666667,6.966666666666667,71,71,0.7468518295095914,0.814230633652564,0.4307590625615354,0.46899604571033143,1.153687906549809,1.038867888651612
Jeronimo,baseline_eyes_open,214,144,178,67.28971962616822,83.17757009345794,1,1,5.755266982729661,1.4370261461231146,5.755266982729661,1.4370261461231146,0.0,0.0
Jeronimo,baseline_eyes_closed,232,3,3,1.293103448275862,1.293103448275862,1,1,0.7308472646014075,0.7288477511642611,0.7308472646014075,0.7288477511642611,0.0,0.0
Jeronimo,low_cognitive_load,468,14,14,2.9914529914529915,2.9914529914529915,2,2,0.40599307250910555,0.4046632112093338,0.40599307250910555,0.4046632112093338,0.031162060295034127,0.029832198995262404
Jeronimo,high_cognitive_load,470,23,23,4.8936170212765955,4.8936170212765955,2,2,0.16142805958708017,0.16677087815013278,0.16142805958708017,0.16677087815013278,0.06106690432567237,0.06640972288872496
Joss,baseline_eyes_open,235,11,11,4.680851063829787,4.680851063829787,1,1,0.23633324973581266,0.17932101901604916,0.23633324973581266,0.17932101901604916,0.0,0.0
Joss,baseline_eyes_closed,232,3,3,1.293103448275862,1.293103448275862,1,1,0.12553141443738078,0.12555035329045572,0.12553141443738078,0.12555035329045572,0.0,0.0
Joss,low_cognitive_load,469,14,14,2.985074626865672,2.985074626865672,2,2,0.5527378517911374,0.5538294263727662,0.5527378517911374,0.5538294263727662,0.05582872286493909,0.05473714828331033
Joss,high_cognitive_load,471,6,6,1.2738853503184713,1.2738853503184713,2,2,0.1363638279408614,0.1363638279408614,0.1363638279408614,0.1363638279408614,0.05223267215380847,0.05223267215380847
mai,baseline_eyes_open,242,6,6,2.479338842975207,2.479338842975207,1,1,0.11424247478771278,0.10532674862657695,0.11424247478771278,0.10532674862657695,0.0,0.0
mai,baseline_eyes_closed,242,8,8,3.3057851239669422,3.3057851239669422,1,1,0.26156570367843707,0.1023020896750289,0.26156570367843707,0.1023020896750289,0.0,0.0
mai,low_cognitive_load,322,7,7,2.1739130434782608,2.1739130434782608,1,1,0.029694079549663653,0.038739285659469935,0.029694079549663653,0.038739285659469935,0.0,0.0
mai,high_cognitive_load,323,6,6,1.8575851393188854,1.8575851393188854,1,1,0.868161151513374,0.8751611061125996,0.868161151513374,0.8751611061125996,0.0,0.0
Rafael,baseline_eyes_open,1804,739,824,40.96452328159645,45.67627494456763,13,13,1.104310724599519,3.749469858008709,0.5915436453682895,1.6363365098991165,1.1364312171767357,4.485773385006906
Rafael,baseline_eyes_closed,1806,691,776,38.261351052048724,42.967884828349945,13,13,0.9607207540359146,3.6295452210665706,0.6465719921117274,3.0216507379526405,0.837539320539451,3.028835700858156
Rafael,low_cognitive_load,333,117,135,35.13513513513514,40.54054054054054,1,1,0.2984902069675571,19.202224056421,0.2984902069675571,19.202224056421,0.0,0.0
Rafael,high_cognitive_load,676,241,281,35.650887573964496,41.56804733727811,4,4,1.2565534080460743,3.6010483849087063,1.0745915863747462,3.096783267190891,0.8571581392331434,2.9414141924599675
